"","beer_name","style","abv","ibu","ounces","brewery_name","city","state"
"235","Vortex IPA","American IPA",0.074,97,16,"Fort George Brewery","Astoria"," OR"
"236","Evil Owl","American Amber",0.052,40,12,"Branchline Brewing Company","San Antonio"," TX"
"237","Booming Rollers","American IPA",0.068,75,16,"Modern Times Beer","San Diego"," CA"
"238","Blazing World","American Amber",0.065,115,16,"Modern Times Beer","San Diego"," CA"
"239","City of the Sun","American IPA",0.075,85,16,"Modern Times Beer","San Diego"," CA"
"240","Aurora ","American Amber",0.067,75,16,"Modern Times Beer","San Diego"," CA"
"241","#004 Session I.P.A.","American IPA",0.048,38,12,"Wisconsin Brewing Company","Verona"," WI"
"242","#002 American I.P.A.","American IPA",0.071,60,12,"Wisconsin Brewing Company","Verona"," WI"
"243","More Cowbell","American Double",0.09,118,16,"Buffalo Bayou Brewing Company","Houston"," TX"
"244","1916 Shore Shiver","American IPA",0.069,65,12,"Forgotten Boardwalk","Cherry Hill"," NJ"
"245","Laughing Dog IPA","American IPA",0.064,66,12,"Laughing Dog Brewing Company","Ponderay"," ID"
"246","Bozone HopZone IPA","American IPA",0.07,80,12,"Bozeman Brewing Company","Bozeman"," MT"
"247","Hemlock Double IPA","American Double",0.095,104,12,"Big Choice Brewing","Broomfield"," CO"
"248","Disconnected Red","American Amber",0.067,85,16,"Big Choice Brewing","Broomfield"," CO"
"249","Arcus IPA","American IPA",0.069,81,12,"Big Storm Brewing Company","Odessa"," FL"
"250","Wavemaker","American Amber",0.058,38,12,"Big Storm Brewing Company","Odessa"," FL"
"251","Boat Beer","American IPA",0.042,35,12,"Carton Brewing Company","Atlantic Highlands"," NJ"
"252","077XX","American Double",0.078,80,16,"Carton Brewing Company","Atlantic Highlands"," NJ"
"253","Sockeye Red IPA","American IPA",0.057,70,12,"Midnight Sun Brewing Company","Anchorage"," AK"
"254","Pleasure Town IPA","American IPA",0.063,61,12,"Midnight Sun Brewing Company","Anchorage"," AK"
"255","Pleasure Town","American IPA",0.063,61,12,"Midnight Sun Brewing Company","Anchorage"," AK"
"256","Hop Stalker Fresh Hop IPA","American IPA",0.07,80,16,"Fat Head's Brewery","Middleburg Heights"," OH"
"257","On the Wings of Armageddon","American Double",0.092,115,12,"DC Brau Brewing Company","Washington"," DC"
"258","The Corruption","American IPA",0.065,80,12,"DC Brau Brewing Company","Washington"," DC"
"259","Cedar Point","American Amber",0.05,26,12,"Geneva Lake Brewing Company","Lake Geneva"," WI"
"260","No Wake IPA","American IPA",0.072,50,12,"Geneva Lake Brewing Company","Lake Geneva"," WI"
"261","Fisherman's Brew","American Amber",0.055,30,12,"Cape Ann Brewing Company","Gloucester"," MA"
"262","Dead-Eye DIPA","American Double",0.09,130,16,"Cape Ann Brewing Company","Gloucester"," MA"
"263","Fisherman's IPA","American IPA",0.055,64,12,"Cape Ann Brewing Company","Gloucester"," MA"
"264","Hop Box Imperial IPA","American Double",0.093,90,12,"Joseph James Brewing Company","Henderson"," NV"
"265","Harpoon IPA (2010)","American IPA",0.059,42,12,"Harpoon Brewery","Boston"," MA"
"266","Harpoon IPA (2012)","American IPA",0.059,42,12,"Harpoon Brewery","Boston"," MA"
"267","Harpoon IPA","American IPA",0.059,42,12,"Harpoon Brewery","Boston"," MA"
"268","Missile IPA","American IPA",0.07,65,12,"Champion Brewing Company","Charlottesville"," VA"
"269","Ananda India Pale Ale","American IPA",0.062,61,12,"Wiseacre Brewing Company","Memphis"," TN"
"270","Better Weather IPA","American IPA",0.094,92,16,"Golden Road Brewing","Los Angeles"," CA"
"271","2020 IPA","American IPA",0.074,74,16,"Golden Road Brewing","Los Angeles"," CA"
"272","Point the Way IPA","American IPA",0.059,60,12,"Golden Road Brewing","Los Angeles"," CA"
"273","Heal the Bay IPA","American IPA",0.068,65,16,"Golden Road Brewing","Los Angeles"," CA"
"274","Burning Bush Smoked IPA","American IPA",0.08,70,16,"Golden Road Brewing","Los Angeles"," CA"
"275","Point the Way IPA (2012)","American IPA",0.059,60,16,"Golden Road Brewing","Los Angeles"," CA"
"276","Wolf Among Weeds IPA (2012)","American IPA",0.08,70,16,"Golden Road Brewing","Los Angeles"," CA"
"277","Wolf Among Weeds IPA","American IPA",0.08,70,16,"Golden Road Brewing","Los Angeles"," CA"
"278","Point the Way IPA","American IPA",0.059,60,16,"Golden Road Brewing","Los Angeles"," CA"
"279","Dammit Jim!","American Amber",0.052,50,12,"New Republic Brewing Company","College Station"," TX"
"280","Infamous IPA","American IPA",0.07,75,12,"Infamous Brewing Company","Austin"," TX"
"281","Tropicalia","American IPA",0.065,65,12,"Creature Comforts","Athens"," GA"
"282","Pursuit","American IPA",0.07,40,12,"Half Full Brewery","Stamford"," CT"
"283","Barrio Blanco","American IPA",0.06,60,12,"Barrio Brewing Company","Tucson"," AZ"
"284","Giant DIPA","American Double",0.089,88,16,"Santa Cruz Mountain Brewing","Santa Cruz"," CA"
"285","Batch 69 IPA","American IPA",0.069,69,12,"Frankenmuth Brewery","Frankenmuth"," MI"
"286","Fascist Pig Ale","American Amber",0.08,72,16,"Finch's Beer Company","Chicago"," IL"
"287","Texas Pale Ale (TPA)","American IPA",0.055,40,16,"South Austin Brewery","South Austin"," TX"
"288","Sky-Five","American IPA",0.067,70,12,"Bauhaus Brew Labs","Minneapolis"," MN"
"289","Modus Hoperandi","American IPA",0.068,65,12,"Ska Brewing Company","Durango"," CO"
"290","Modus Hoperandi","American IPA",0.068,65,12,"Ska Brewing Company","Durango"," CO"
"291","Farmer's Tan Red Ale","American Amber",0.06,30,12,"Tractor Brewing Company","Albuquerque"," NM"
"292","Almanac IPA","American IPA",0.062,72,12,"Tractor Brewing Company","Albuquerque"," NM"
"293","Cape Cod Red","American Amber",0.055,35,16,"Cape Cod Beer","Hyannis"," MA"
"294","Long Trail Ale","American Amber",0.046,30,12,"Long Trail Brewing Company","Bridgewater Corners"," VT"
"295","Heady Topper","American Double",0.08,120,16,"The Alchemist","Waterbury"," VT"
"296","Heady Topper","American Double",0.08,120,16,"The Alchemist","Waterbury"," VT"
"297","40 Mile IPA","American IPA",0.06,50,12,"Three Notch'd Brewing Company","Charlottesville"," VA"
"298","Let It Ride IPA","American IPA",0.068,90,12,"Indeed Brewing Company","Minneapolis"," MN"
"299","Hill 88 Double IPA","American Double",0.088,77,16,"Headlands Brewing Company","Mill Valley"," CA"
"300","Longhop IPA","American IPA",0.042,30,16,"Bolero Snort Brewery","Ridgefield Park"," NJ"
"301","Thrasher Session India Pale Ale","American IPA",0.045,44,12,"Defiance Brewing Company","Hays"," KS"
"302","Louie's Demise Amber Ale","American Amber",0.051,24,16,"Milwaukee Brewing Company","Milwaukee"," WI"
"303","Hop Freak","American Double",0.087,80,16,"Milwaukee Brewing Company","Milwaukee"," WI"
"304","Louie’s Demise Immort-Ale (2010)","American Amber",0.051,24,16,"Milwaukee Brewing Company","Milwaukee"," WI"
"305","Hop Happy","American IPA",0.075,51,16,"Milwaukee Brewing Company","Milwaukee"," WI"
"306","El Chingon IPA","American IPA",0.076,73,12,"Four Corners Brewing Company","Dallas"," TX"
"307","Saint Archer IPA","American IPA",0.068,66,12,"Saint Archer Brewery","San Diego"," CA"
"308","Supergoose IPA","American IPA",0.069,67,12,"Hale's Ales","Seattle"," WA"
"309","IPA & a Half","American IPA",0.073,87,12,"Tommyknocker Brewery","Idaho Springs"," CO"
"310","Amber Road","American Amber",0.055,35,12,"Baxter Brewing Company","Lewiston"," ME"
"311","Stowaway IPA","American IPA",0.069,69,12,"Baxter Brewing Company","Lewiston"," ME"
"312","Colorado Red Ale","American Amber",0.066,44,12,"Black Shirt Brewing Company","Denver"," CO"
"313","Wachusett IPA","American IPA",0.056,50,12,"Wachusett Brewing Company","Westminster"," MA"
"314","Green Monsta IPA","American IPA",0.06,55,12,"Wachusett Brewing Company","Westminster"," MA"
"315","Larry Imperial IPA","American Double",0.085,85,12,"Wachusett Brewing Company","Westminster"," MA"
"316","Wachusett Light IPA (2013)","American IPA",0.04,37,12,"Wachusett Brewing Company","Westminster"," MA"
"317","Green Monsta IPA","American IPA",0.06,55,12,"Wachusett Brewing Company","Westminster"," MA"
"318","Wachusett Light IPA","American IPA",0.04,37,12,"Wachusett Brewing Company","Westminster"," MA"
"319","Hop Farm IPA","American IPA",0.058,45,12,"Hop Farm Brewing Company","Pittsburgh"," PA"
"320","American Hero","American Amber",0.057,42,12,"Liquid Hero Brewery","York"," PA"
"321","Irregardless IPA","American IPA",0.065,75,12,"Liquid Hero Brewery","York"," PA"
"322","Our Legacy IPA","American IPA",0.065,60,12,"Matt Brewing Company","Utica"," NY"
"323","Our Legacy IPA","American IPA",0.065,60,16,"Matt Brewing Company","Utica"," NY"
"324","Rebel IPA","American IPA",0.065,45,16,"Boston Beer Company","Boston"," MA"
"325","Squatters Hop Rising Double IPA (2014)","American Double",0.09,75,12,"Utah Brewers Cooperative","Salt Lake City"," UT"
"326","Squatters Hop Rising Double IPA","American Double",0.09,75,12,"Utah Brewers Cooperative","Salt Lake City"," UT"
"327","Quarter Mile Double IPA","American Double",0.08,80,12,"Blue Hills Brewery","Canton"," MA"
"328","Hoptopus Double IPA","American Double",0.088,108,16,"Beach Brewing Company","Virginia Beach"," VA"
"329","Outlaw IPA","American IPA",0.062,65,12,"Payette Brewing Company","Garden City"," ID"
"330","Last Stop IPA","American IPA",0.072,60,12,"Brew Bus Brewing","Tampa"," FL"
"331","Dagger Falls IPA","American IPA",0.063,100,12,"Sockeye Brewing Company","Boise"," ID"
"332","Dagger Falls IPA","American IPA",0.063,100,12,"Sockeye Brewing Company","Boise"," ID"
"333","Dagger Falls IPA","American IPA",0.063,100,12,"Sockeye Brewing Company","Boise"," ID"
"334","Filthy Hoppin' IPA","American IPA",0.065,72,16,"Dirty Bucket Brewing Company","Woodinville"," WA"
"335","Iron Butt Red Ale","American Amber",0.058,39,12,"Slanted Rock Brewing Company","Meridian"," ID"
"336","Initial Point India Pale Ale","American IPA",0.071,92,12,"Slanted Rock Brewing Company","Meridian"," ID"
"337","McKinney Eddy Amber Ale","American Amber",0.055,20,16,"Piney River Brewing Company","Bucryus"," MO"
"338","Missouri Mule India Pale Ale","American IPA",0.07,70,16,"Piney River Brewing Company","Bucryus"," MO"
"339","Banner American Ale","American Amber",0.035,45,12,"Banner Beer Company","Williamsburg"," MA"
"340","Jacaranada Rye IPA","American IPA",0.067,60,16,"Claremont Craft Ales","Claremont"," CA"
"341","Lil SIPA","American IPA",0.05,55,16,"Rivertown Brewing Company","Lockland"," OH"
"342","Good Vibes IPA","American IPA",0.073,85,12,"Voodoo Brewery","Meadville"," PA"
"343","GreyBeard™ IPA","American IPA",0.069,51,12,"Pisgah Brewing Company","Black Mountain"," NC"
"344","Just IPA","American IPA",0.046,45,12,"The Just Beer Project","Burlington"," VT"
"345","Dead Armadillo Amber Ale","American Amber",0.063,37,12,"Dead Armadillo Craft Brewing","Tulsa"," OK"
"346","Elevated IPA","American IPA",0.072,100,16,"La Cumbre Brewing Company","Albuquerque"," NM"
"347","Wood Chipper India Pale Ale","American IPA",0.067,70,12,"Fargo Brewing Company","Fargo"," ND"
"348","Big Sky IPA (2012)","American IPA",0.062,65,12,"Big Sky Brewing Company","Missoula"," MT"
"349","Big Sky IPA","American IPA",0.062,65,12,"Big Sky Brewing Company","Missoula"," MT"
"350","Nebraska India Pale Ale","American IPA",0.065,65,12,"Nebraska Brewing Company","Papillion"," NE"
"351","Be Hoppy IPA","American IPA",0.065,69,16,"Wormtown Brewery","Worcester"," MA"
"352","Category 3 IPA","American IPA",0.061,64,12,"Due South Brewing Company","Boynton Beach"," FL"
"353","KelSo India Pale Ale","American IPA",0.06,64,12,"KelSo Beer Company","Brooklyn"," NY"
"354","The Great Return","American IPA",0.075,70,16,"Hardywood Park Craft Brewery","Richmond"," VA"
"355","Troopers Alley IPA","American IPA",0.059,135,12,"Wolf Hills Brewing Company","Abingdon"," VA"
"356","Duluchan India Pale Ale","American IPA",0.056,70,12,"Lavery Brewing Company","Erie"," PA"
"357","Madra Allta","American IPA",0.064,95,12,"Lavery Brewing Company","Erie"," PA"
"358","Manzanita IPA","American IPA",0.08,88,12,"Manzanita Brewing Company","Santee"," CA"
"359","Chaotic Double IPA","American Double",0.099,93,12,"Manzanita Brewing Company","Santee"," CA"
"360","Lucky Day IPA","American IPA",0.072,85,16,"Central Coast Brewing Company","San Luis Obispo"," CA"
"361","Terrace Hill Double IPA","American Double",0.095,99,16,"Central Coast Brewing Company","San Luis Obispo"," CA"
"362","Charlie in the Rye","American IPA",0.058,55,12,"Westfield River Brewing Company","Westfield"," MA"
"363","Elephant Rock IPA","American IPA",0.07,75,12,"Pikes Peak Brewing Company","Monument"," CO"
"364","Dreamin' Double IPA","American Double",0.085,85,12,"Manayunk Brewing Company","Philadelphia"," PA"
"365","Hop Drop 'N Roll IPA","American IPA",0.072,80,16,"NoDa Brewing Company","Charlotte"," NC"
"366","Hot Rod Red","American Amber",0.061,41,12,"Aviator Brewing Company","Fuquay-Varina"," NC"
"367","Hop Slayer Double IPA","American Double",0.082,100,12,"Wild Onion Brewing Company","Lake Barrington"," IL"
"368","Hop Slayer Double IPA (2011)","American Double",0.082,100,12,"Wild Onion Brewing Company","Lake Barrington"," IL"
"369","Hop Slayer Double IPA (2011)","American Double",0.082,100,12,"Wild Onion Brewing Company","Lake Barrington"," IL"
"370","Hilliard's Amber Ale","American Amber",0.055,60,16,"Hilliard's Beer","Seattle"," WA"
"371","40th Annual Bix Street Fest Copper Ale (Current)","American Amber",0.048,25,16,"Great River Brewery","Davenport"," IA"
"372","Big Cock IPA","American IPA",0.07,70,16,"Great River Brewery","Davenport"," IA"
"373","Hop Crisis","American Double",0.097,94,12,"21st Amendment Brewery","San Francisco"," CA"
"374","Brew Free! or Die IPA","American IPA",0.07,65,12,"21st Amendment Brewery","San Francisco"," CA"
"375","Brew Free! or Die IPA (2008)","American IPA",0.07,70,12,"21st Amendment Brewery","San Francisco"," CA"
"376","21st Amendment IPA (2006)","American IPA",0.07,70,12,"21st Amendment Brewery","San Francisco"," CA"
"377","Brew Free! or Die IPA (2009)","American IPA",0.07,70,12,"21st Amendment Brewery","San Francisco"," CA"
"378","Crank Yanker IPA (2011)","American IPA",0.078,74,16,"Eddyline Brewery & Restaurant","Buena Vista"," CO"
"379","Crank Yanker IPA","American IPA",0.078,74,16,"Eddyline Brewery & Restaurant","Buena Vista"," CO"
"380","113 IPA","American IPA",0.07,113,12,"Sly Fox Brewing Company","Pottstown"," PA"
"381","Odyssey Imperial IPA","American Double",0.084,90,12,"Sly Fox Brewing Company","Pottstown"," PA"
"382","Bitter Bitch Imperial IPA","American Double",0.082,138,12,"Astoria Brewing Company","Astoria"," OR"
"383","Old Red Beard Amber Ale","American Amber",0.06,35,12,"Astoria Brewing Company","Astoria"," OR"
"384","Flyin' HI.P.Hay","American IPA",0.068,68,12,"Maui Brewing Company","Lahaina"," HI"
"385","Big Swell IPA","American IPA",0.062,65,12,"Maui Brewing Company","Lahaina"," HI"
"386","Sobrehumano Palena'ole","American Amber",0.06,24,12,"Maui Brewing Company","Lahaina"," HI"
"387","RoughTail IPA","American IPA",0.07,80,16,"RoughTail Brewing Company","Midwest City"," OK"
"388","Northern Lights India Pale Ale","American IPA",0.065,52,16,"Starr Hill Brewery","Crozet"," VA"
"389","Northern Lights India Pale Ale","American IPA",0.065,52,12,"Starr Hill Brewery","Crozet"," VA"
"390","Westbrook IPA","American IPA",0.068,65,12,"Westbrook Brewing Company","Mt. Pleasant"," SC"
"391","Monkey Fist IPA","American IPA",0.069,65,12,"Shipyard Brewing Company","Portland"," ME"
"392","Old Grogham Imperial India Pale Ale (2012)","American Double",0.085,86,16,"Natian Brewery","Portland"," OR"
"393","Old Grogham Imperial India Pale Ale","American Double",0.085,86,16,"Natian Brewery","Portland"," OR"
"394","G'KNIGHT","American Double",0.087,85,12,"Oskar Blues Brewery (North Carol...","Brevard"," NC"
"395","Deviant Dale's IPA","American Double",0.08,85,16,"Oskar Blues Brewery (North Carol...","Brevard"," NC"
"396","Avalanche Ale","American Amber",0.054,19,12,"Breckenridge Brewery","Denver"," CO"
"397","Lucky U IPA","American IPA",0.062,68,12,"Breckenridge Brewery","Denver"," CO"
"398","Miami Vice IPA","American IPA",0.071,62,12,"Miami Brewing Company","Miami"," FL"
"399","1881 California Red Ale","American Amber",0.056,35,16,"Ruhstaller Beer Company","Sacramento"," CA"
"400","1881 California Red","American Amber",0.056,35,12,"Ruhstaller Beer Company","Sacramento"," CA"
"401","Ruhstaller's Gilt Edge Lager Beer","American Amber",0.048,42,12,"Ruhstaller Beer Company","Sacramento"," CA"
"402","Desolation IPA","American IPA",0.062,43,16,"Amnesia Brewing Company","Washougal"," WA"
"403","Moirai India Pale Ale","American IPA",0.07,70,16,"Fate Brewing Company","Boulder"," CO"
"404","Gandhi-Bot Double IPA (16 oz.) (2010)","American Double",0.088,85,16,"New England Brewing Company","Woodbridge"," CT"
"405","Gandhi-Bot Double IPA (12 oz.)","American Double",0.088,85,12,"New England Brewing Company","Woodbridge"," CT"
"406","Monkeynaut IPA","American IPA",0.072,70,12,"Straight to Ale","Huntsville"," AL"
"407","Habitus IPA","American IPA",0.08,86,16,"Hess Brewing Company","San Diego"," CA"
"408","Schlafly IPA","American IPA",0.045,30,12,"Schlafly Brewing Company","Saint Louis"," MO"
"409","Green Bullet Organic India Pale Ale","American IPA",0.07,45,16,"Asher Brewing Company","Boulder"," CO"
"410","Face Plant IPA","American IPA",0.062,65,12,"Lost Rhino Brewing Company","Ashburn"," VA"
"411","Blur India Pale Ale","American IPA",0.074,60,12,"Seabright Brewery","Santa Cruz"," CA"
"412","Nice Rack IPA","American IPA",0.055,65,16,"Southern Oregon Brewing Company","Medford"," OR"
"413","Longboard Island Lager","American Amber",0.046,18,16,"Kona Brewing Company","Kona"," HI"
"414","Longboard Island Lager","American Amber",0.046,18,12,"Kona Brewing Company","Kona"," HI"
"415","Longboard Island Lager","American Amber",0.046,18,12,"Kona Brewing Company","Kona"," HI"
"416","Longboard Island Lager","American Amber",0.046,18,24,"Kona Brewing Company","Kona"," HI"
"417","5 Day IPA","American IPA",0.061,66,12,"O'Fallon Brewery","O'Fallon"," MO"
"418","Bark Bite IPA","American IPA",0.066,50,16,"Big Wood Brewery","Vadnais Heights"," MN"
"419","Bad Axe Imperial IPA","American Double",0.098,76,16,"Big Wood Brewery","Vadnais Heights"," MN"
"420","Big Nose","American IPA",0.073,50,12,"Swamp Head Brewery","Gainesville"," FL"
"421","TailGate IPA","American IPA",0.05,44,24,"TailGate Beer","San Diego"," CA"
"422","Dodgy Knight Imperial IPA","American Double",0.08,95,12,"TailGate Beer","San Diego"," CA"
"423","TailGate IPA","American IPA",0.05,44,12,"TailGate Beer","San Diego"," CA"
"424","Twister Creek India Pale Ale","American IPA",0.065,71,12,"Denali Brewing Company","Talkeetna"," AK"
"425","Indian Paintbrush IPA","American IPA",0.07,75,12,"The Black Tooth Brewing Company","Sheridan"," WY"
"426","Bomber Mountain Amber Ale (2013)","American Amber",0.046,20,12,"The Black Tooth Brewing Company","Sheridan"," WY"
"427","Interurban IPA","American IPA",0.065,80,12,"Fremont Brewing Company","Seattle"," WA"
"428","Colorado Native","American Amber",0.055,26,12,"AC Golden Brewing Company","Golden"," CO"
"429","Colorado Native (2011)","American Amber",0.055,26,12,"AC Golden Brewing Company","Golden"," CO"
"430","Descender IPA","American IPA",0.07,70,12,"Good Life Brewing Company","Bend"," OR"
"431","South Ridge Amber Ale","American Amber",0.06,31,16,"Crystal Springs Brewing Company","Boulder"," CO"
"432","Gangway IPA","American IPA",0.062,55,12,"Red Hare Brewing Company","Marietta"," GA"
"433","Good People IPA","American IPA",0.06,64,12,"Good People Brewing Company","Birmingham"," AL"
"434","Snake Handler Double IPA","American Double",0.093,103,12,"Good People Brewing Company","Birmingham"," AL"
"435","Loose Cannon","American IPA",0.072,45,12,"Heavy Seas Beer","Halethorpe"," MD"
"436","Rude Parrot IPA","American IPA",0.059,75,16,"7 Seas Brewing Company","Gig Harbor"," WA"
"437","Ballz Deep Double IPA","American Double",0.084,82,16,"7 Seas Brewing Company","Gig Harbor"," WA"
"438","Des Moines IPA","American IPA",0.068,75,16,"Confluence Brewing Company","Des Moines"," IA"
"439","Topcutter India Pale Ale","American IPA",0.068,70,12,"Bale Breaker Brewing Company","Yakima"," WA"
"440","Mac's Scottish Style Amber Ale (2000)","American Amber",0.051,32,12,"MacTarnahans Brewing Company","Portland"," OR"
"441","Wisco Disco","American Amber",0.051,31,16,"Stillmank Beer Company","Green Bay"," WI"
"442","Long Hammer IPA","American IPA",0.065,44,12,"Redhook Brewery","Woodinville"," WA"
"443","Long Hammer IPA","American IPA",0.065,44,16,"Redhook Brewery","Woodinville"," WA"
"444","Copper Hook (2011)","American Amber",0.058,27,12,"Redhook Brewery","Woodinville"," WA"
"445","Old Elephant Foot IPA","American IPA",0.07,80,16,"Tampa Bay Brewing Company","Tampa"," FL"
"446","California Sunshine Rye IPA","American IPA",0.071,85,16,"Devil's Canyon Brewery","Belmont"," CA"
"447","Deadicated Amber","American Amber",0.054,27,16,"Devil's Canyon Brewery","Belmont"," CA"
"448","Northern Lights Amber Ale","American Amber",0.05,15,12,"Broken Tooth Brewing Company","Anchorage"," AK"
"449","Fairweather IPA","American IPA",0.061,64,12,"Broken Tooth Brewing Company","Anchorage"," AK"
"450","Frankenlou's IPA","American IPA",0.07,105,16,"Seven Brides Brewery","Silverton"," OR"
"451","Hop Abomination","American IPA",0.066,100,12,"Dry Dock Brewing Company","Aurora"," CO"
"452","Dry Dock Amber Ale","American Amber",0.058,49,12,"Dry Dock Brewing Company","Aurora"," CO"
"453","Gordon (2005)","American Double",0.092,85,12,"Oskar Blues Brewery","Lyons"," CO"
"454","Gordon Beer (2006)","American Double",0.087,60,12,"Oskar Blues Brewery","Lyons"," CO"
"455","Ace IPA","American IPA",0.074,83,16,"Wingman Brewers","Tacoma"," WA"
"456","Double Haul IPA (2006)","American IPA",0.065,65,16,"Kettle House Brewing Company","Missoula"," MT"
"457","Double Haul IPA (2009)","American IPA",0.065,65,16,"Kettle House Brewing Company","Missoula"," MT"
"458","Double Haul IPA","American IPA",0.065,65,16,"Kettle House Brewing Company","Missoula"," MT"
"459","Dottie Seattle Lager","American Amber",0.049,25,16,"Emerald City Beer Company","Seattle"," WA"
"460","House Brand IPA","American IPA",0.06,55,12,"Big River Brewing Company","Chattanooga"," TN"
"461","Hoppy Boy","American IPA",0.062,65,16,"Twisted Pine Brewing Company","Boulder"," CO"
"462","Snake Dog IPA","American IPA",0.071,60,12,"Flying Dog Brewery","Frederick"," MD"
"463","Independence Pass Ale","American IPA",0.07,67,12,"Aspen Brewing Company","Aspen"," CO"
"464","I-10 IPA","American IPA",0.068,55,12,"Intuition Ale Works","Jacksonville"," FL"
"465","Shiva IPA","American IPA",0.06,69,12,"Asheville Brewing Company","Asheville"," NC"
"466","Tule Duck Red Ale (Current)","American Amber",0.062,42,16,"Buckbean Brewing Company","Reno"," NV"
"467","Abita Amber","American Amber",0.045,17,12,"Abita Brewing Company","Abita Springs"," LA"
"468","Jockamo IPA","American IPA",0.065,52,12,"Abita Brewing Company","Abita Springs"," LA"
"469","Upstate I.P.W.","American IPA",0.065,70,12,"Upstate Brewing Company","Elmira"," NY"
